leagueoflegends,ShadowCream, China, China
leagueoflegends,OnlyGame, China, China
leagueoflegends,ORDER, Australia, Oceania
leagueoflegends,Griffin, Korea, Korea
leagueoflegends,TyLoo, China, China
leagueoflegends,Virtus.pro, Russia, Europe
leagueoflegends,G-Rex, Hong Kong Taiwan, Taiwan
leagueoflegends,Gen.G, South Korea,
leagueoflegends,Winners, South Korea, Korea
leagueoflegends,MEGA, Thailand, Southeast Asia
leagueoflegends,Alliance, Sweden, Europe
leagueoflegends,MVP, Korea, Korea
leagueoflegends,Lemondogs, Sweden, Europe
leagueoflegends,Immortals, United States,
leagueoflegends,PENTAGRAM, Japan, Japan
leagueoflegends,GamersOrigin, France, Europe
leagueoflegends,FlyQuest, United States, North America
leagueoflegends,Splyce, United States Europe, Europe
leagueoflegends,Rainbow7, Mexico,
leagueoflegends,H2K, United Kingdom United States, Europe
leagueoflegends,Team Just Alpha, Russia, CIS
leagueoflegends,Cloud9, United States North America, North America
leagueoflegends,MAD Team, Taiwan, Taiwan
leagueoflegends,Vikings Gaming, Vietnam, Vietnam
leagueoflegends,EVOS Esports, Vietnam, Vietnam
leagueoflegends,Rogue Warriors, China, China
leagueoflegends,Machi Esports, Taiwan, Taiwan
leagueoflegends,Clutch Gaming, United States, North America
leagueoflegends,100 Thieves, United States, North America
leagueoflegends,Chiefs Esports Club, Australia, Oceania
leagueoflegends,JD Gaming, China, China
leagueoflegends,Raise Gaming, Taiwan, Taiwan
leagueoflegends,Unsold Stuff Gaming, Japan, Japan
leagueoflegends,Afro Beast, Taiwan, Taiwan
leagueoflegends,Counter Logic Gaming Europe, United States Europe, Europe
leagueoflegends,Adonis Esports, Vietnam, Vietnam
leagueoflegends,Evil Geniuses, United States, North America
leagueoflegends,SuperMassive eSports, Turkey, Turkey
leagueoflegends,Team Dignitas, United Kingdom United States, North America
leagueoflegends,Echo Fox, United States, North America
leagueoflegends,KaBuM! e-Sports, Brazil, Brazil
leagueoflegends,1907 Fenerbahçe Esports, Turkey, Turkey
leagueoflegends,SinoDragon Club, China, China
leagueoflegends,Counter Logic Gaming Academy, United States, North America
leagueoflegends,Infinity eSports, Costa Rica Mexico, Europe
leagueoflegends,PENTAGRAM, Japan, Japan
leagueoflegends,J Team, Taiwan, Taiwan
leagueoflegends,Afreeca Freecs, South Korea,
leagueoflegends,M19, Russia, CIS
leagueoflegends,Flamengo eSports, Brazil, Brazil
leagueoflegends,Suning Gaming, China, China
leagueoflegends,Cloud9 Academy, United States North America, North America
leagueoflegends,Bilibili Gaming, China, China
leagueoflegends,Lyon Gaming, Mexico,
leagueoflegends,Vega Squadron, Russia CIS, CIS
leagueoflegends,Moscow Five, Russia, CIS
leagueoflegends,Dragon Army, Russia, CIS
leagueoflegends,ES Sharks, Korea, Korea
leagueoflegends,FC Schalke 04 Esports, Germany, Europe
leagueoflegends,Kongdoo Monster, South Korea, Korea
leagueoflegends,Friends Forever QTV Gaming, Vietnam, Vietnam
leagueoflegends,Legacy Esports, Australia, Oceania
leagueoflegends,Ascension Gaming, Thailand, Southeast Asia
leagueoflegends,KT Rolster Arrows, Korea, Korea
leagueoflegends,Team Liquid Academy, Netherlands United States, North America
leagueoflegends,V3 Esports, Japan, Japan
leagueoflegends,MAD Lions, Spain, Europe
leagueoflegends,UTM Esports, Vietnam, Vietnam
leagueoflegends,Topsports Gaming, China, China
leagueoflegends,ASUS ROG ELITE, Serbia, Europe
leagueoflegends,KT Rolster, Korea, Korea
leagueoflegends,Hong Kong Attitude, Hong Kong, Taiwan
leagueoflegends,Red Bulls, Europe, Europe
leagueoflegends,Echo Fox Academy, United States, North America
leagueoflegends,Kaos Latin Gamers, Puerto Rico Chile, South America
leagueoflegends,Team BattleComics, South Korea, Korea
leagueoflegends,RED Canids, Brazil, Brazil
leagueoflegends,Misfits Gaming, Germany Europe, Europe
leagueoflegends,ProGaming Esports, Brazil, Brazil
leagueoflegends,17 Academy, Taiwan, Taiwan
leagueoflegends,Flash Wolves, Taiwan, Taiwan
leagueoflegends,Dire Wolves, Australia, Oceania
leagueoflegends,Unicorns of Love, Germany, Europe
leagueoflegends,Royal Never Give Up, China, China
leagueoflegends,KING-ZONE DragonX, South Korea,
leagueoflegends,Ninjas in Pyjamas, Sweden, Europe
leagueoflegends,Jin Air Green Wings, Korea, Korea
leagueoflegends,Snake Esports, China, China
leagueoflegends,Oh My God, China, China
leagueoflegends,Longzhu Gaming, South Korea,
leagueoflegends,ahq e-Sports Club, Taiwan,
leagueoflegends,Keyd Stars, Brazil, Brazil
leagueoflegends,Team oNe eSports, Brazil, Brazil
leagueoflegends,Team WE, China, China
leagueoflegends,Samsung Galaxy, Korea, Korea
leagueoflegends,CNB e-Sports Club, Brazil, Brazil
leagueoflegends,paiN Gaming, Brazil, Brazil
leagueoflegends,Invictus Gaming, China, China
leagueoflegends,Team Vitality, France, Europe
leagueoflegends,Fnatic, United Kingdom Germany, Europe
leagueoflegends,Wind and Rain, United Kingdom, Europe
leagueoflegends,Team SoloMid, United States World, North America
leagueoflegends,SK Gaming, Germany, Europe
leagueoflegends,Team Liquid, Netherlands United States, North America
leagueoflegends,Origen, Spain Denmark, Europe
leagueoflegends,Team ROCCAT, Germany, Europe
leagueoflegends,LGD Gaming, China, China
leagueoflegends,EURONICS Gaming, Germany, Europe
leagueoflegends,SK Telecom T1, Korea, Korea
leagueoflegends,Counter Logic Gaming, United States North America, North America
leagueoflegends,Giants Gaming, Spain, Europe
leagueoflegends,G2 Esports, Spain Europe, Europe
leagueoflegends,Royal Youth, Turkey, Turkey
leagueoflegends,Millenium, France, Europe
leagueoflegends,Sin Gaming, Australia, Oceania
leagueoflegends,SK Telecom T1 K, Korea, Korea
leagueoflegends,DAMWON Gaming, Korea, Korea
leagueoflegends,FlyQuest Academy, United States, North America
leagueoflegends,Phong Vũ Buffalo, Vietnam, Vietnam
leagueoflegends,ROX Tigers, Korea,
leagueoflegends,Burning Core, Japan, Japan
leagueoflegends,PENTAGRAM, Japan, Japan
leagueoflegends,Paris Saint-Germain eSports, France, Europe
leagueoflegends,INTZ eSports, Brazil, Brazil
leagueoflegends,Cloud9 Eclipse, United States Europe, Europe
leagueoflegends,Misfits Academy, United Kingdom Germany, Europe
leagueoflegends,Illuminar Gaming, Poland, Europe
leagueoflegends,Fnatic Academy, United Kingdom Europe, Europe
leagueoflegends,Operation Kino, Brazil, Brazil
leagueoflegends,DetonatioN FocusMe, Japan, Japan
